      Tamanho      Código                                                                                                                                                                                                                          Descrição
1010     15.0    V1028036                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1011     15.0    V1028037                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1012     15.0    V1028038                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1013     15.0    V1028039                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1014     15.0    V1028040                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1015     15.0    V1028041                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1016     15.0    V1028042                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1017     15.0    V1028043                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1018     15.0    V1028044                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1019     15.0    V1028045                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1020     15.0    V1028046                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1021     15.0    V1028047                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1022     15.0    V1028048                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1023     15.0    V1028049                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1024     15.0    V1028050                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1025     15.0    V1028051                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
1026     15.0    V1028052                                                                                                                                                                                          Peso replicado do domicílio e das pessoas
